LOCO_TYPE,LOCO_NUMBER,YEAR,Availability_Days,Distance_Travelled,Distance_per_day,Total_Failures,Reliability,Failure_Rate,Age_of_Locomotive,Usage_Intensity,Maintenance_Frequency,Fuel_Efficiency,Operating_Hours,Fleet_Type,Efficiency_Score,Maintenance_Score,Risk_Score,Reliability_Category,Age_Category
1,1005,2024,204,46442,227.66,5,65.15,0.0245,16,1.138284,1.86,1.56,4462.23,NRZ,10.41,3.83,0.4462,Medium,Mature
2,37002,2024,91,14979,164.6,7,58.18,0.0769,33,0.823022,1.52,2.88,1862.36,Hired,8.04,1.71,2.0886,Low,Old
2,34820,2020,292,57374,196.49,4,67.48,0.0137,2,0.982432,0.78,2.44,5451.3,Hired,10.52,22.49,0.0269,Medium,New
1,1004,2022,239,45564,190.64,2,76.72,0.0084,6,0.953222,0.99,2.54,5713.18,NRZ,7.98,10.96,0.048,Medium,Young
1,1003,2019,251,28979,115.45,6,52.4,0.0239,14,0.577271,1.49,3.39,4698.59,NRZ,6.17,3.49,0.1932,Low,Mature
1,1021,2020,311,89000,286.17,4,64.46,0.0129,1,1.430868,1.71,2.89,6520.51,NRZ,13.65,32.23,0.0185,Medium,New
1,1004,2020,127,26811,211.11,4,59.01,0.0315,27,1.055551,0.76,2.94,2743.91,NRZ,9.77,2.11,0.8977,Low,Old
1,2108,2024,231,27537,119.21,6,65.04,0.026,9,0.596039,1.79,2.87,5418.63,NRZ,5.08,6.5,0.1395,Medium,Young
1,1012,2019,271,63470,234.21,9,60.37,0.0332,9,1.171033,1.41,1.85,5345.2,NRZ,11.87,6.04,0.3499,Medium,Young
2,37047,2020,264,32201,121.97,3,68.5,0.0114,5,0.609867,0.55,2.29,6189.32,Hired,5.2,11.42,0.0348,Medium,New
1,1002,2024,103,13071,126.9,8,53.11,0.0777,31,0.634515,0.83,3.43,2272.86,NRZ,5.75,1.66,1.5284,Low,Old
2,35036,2022,216,24096,111.56,11,43.33,0.0509,18,0.557778,1.54,1.81,5122.16,Hired,4.7,2.28,0.511,Low,Mature
2,35208,2024,294,35289,120.03,6,59.93,0.0204,7,0.600153,1.53,2.48,5476.41,Hired,6.44,7.49,0.0857,Low,Young
1,1002,2024,214,68517,320.17,11,49.56,0.0514,13,1.600864,0.99,1.53,4699.43,NRZ,14.58,3.54,1.0697,Low,Mature
1,1026,2019,216,39860,184.54,7,53.92,0.0324,17,0.922685,1.58,2.81,4388.41,NRZ,9.08,3.0,0.5082,Low,Mature
2,35349,2024,100,12459,124.59,3,60.02,0.03,33,0.62295,0.6,1.67,2386.41,Hired,5.22,1.77,0.6167,Medium,Old
2,34510,2018,271,59263,218.68,6,64.39,0.0221,10,1.093413,1.51,2.65,5489.34,Hired,10.8,5.85,0.2416,Medium,Young
1,2109,2022,201,30135,149.93,7,42.01,0.0348,18,0.749627,0.71,2.01,4142.12,NRZ,7.28,2.21,0.4696,Low,Mature
1,1002,2018,287,48851,170.21,9,45.49,0.0314,9,0.851063,0.61,1.9,5585.57,NRZ,8.75,4.55,0.2405,Low,Young
2,35163,2018,302,65437,216.68,6,70.0,0.0199,3,1.083394,0.54,3.42,6696.16,Hired,9.77,17.5,0.0647,Medium,New
2,35047,2018,217,51342,236.6,4,76.58,0.0184,9,1.182995,1.51,3.07,4735.29,Hired,10.84,7.66,0.1959,Medium,Young
1,1016,2018,135,13879,102.81,7,54.49,0.0519,24,0.514037,1.23,2.26,3234.48,NRZ,4.29,2.18,0.6403,Low,Old
2,35858,2021,225,39498,175.55,10,51.9,0.0444,13,0.877733,0.8,3.28,4625.95,Hired,8.54,3.71,0.5066,Low,Mature
1,1018,2022,98,13506,137.82,3,47.48,0.0306,31,0.689082,1.38,2.27,1924.17,NRZ,7.02,1.48,0.6537,Low,Old
2,36741,2019,300,40063,133.54,4,68.66,0.0133,1,0.667717,1.35,2.26,5977.97,Hired,6.7,34.33,0.0089,Medium,New
1,1025,2024,199,29159,146.53,5,58.75,0.0251,11,0.732638,1.51,2.35,3862.32,NRZ,7.55,4.9,0.2023,Low,Mature
1,1022,2021,300,92027,306.76,8,60.23,0.0267,2,1.533783,1.02,2.06,6583.43,NRZ,13.98,20.08,0.0819,Medium,New
1,1021,2022,238,77987,327.68,9,49.15,0.0378,8,1.638382,0.89,1.65,5564.47,NRZ,14.02,5.46,0.4954,Low,Young
1,2108,2021,282,32191,114.15,6,65.49,0.0213,3,0.570762,0.76,1.95,6079.9,NRZ,5.29,16.37,0.0365,Medium,New
2,34624,2020,133,15642,117.61,6,48.08,0.0451,25,0.588045,1.54,1.73,2776.03,Hired,5.63,1.85,0.663,Low,Old
1,2102,2022,191,34126,178.67,10,49.19,0.0524,23,0.893351,1.06,2.45,4109.1,NRZ,8.3,2.05,1.0767,Low,Old
1,1004,2020,104,15750,151.44,4,60.58,0.0385,30,0.757212,0.72,2.72,2225.54,NRZ,7.08,1.95,0.8746,Medium,Old
1,1011,2022,113,15194,134.46,5,57.67,0.0442,29,0.672301,1.8,2.56,2437.35,NRZ,6.23,1.92,0.8618,Low,Old
1,1023,2022,250,38899,155.6,11,56.42,0.044,12,0.77798,0.62,2.65,4827.6,NRZ,8.06,4.34,0.4108,Low,Mature
1,1018,2022,201,28417,141.38,6,47.19,0.0299,15,0.706891,0.83,2.58,4065.41,NRZ,6.99,2.95,0.317,Low,Mature
1,1020,2019,186,26132,140.49,5,60.66,0.0269,23,0.702473,0.79,2.42,3552.35,NRZ,7.36,2.53,0.4346,Medium,Old
2,35067,2018,126,31826,252.59,7,56.83,0.0556,28,1.262937,1.51,2.82,2858.76,Hired,11.13,1.96,1.9661,Low,Old
1,1011,2018,275,62756,228.2,4,58.27,0.0145,8,1.141018,1.99,2.1,6338.43,NRZ,9.9,6.47,0.1324,Low,Young
1,1011,2020,253,79618,314.7,6,62.8,0.0237,13,1.573478,1.41,2.06,5147.3,NRZ,15.47,4.49,0.4848,Medium,Mature
1,1030,2022,287,70519,245.71,6,58.91,0.0209,9,1.228554,0.73,3.09,5182.05,NRZ,13.61,5.89,0.2311,Low,Young
1,1010,2022,190,20365,107.18,3,49.44,0.0158,20,0.535921,0.8,2.32,3922.71,NRZ,5.19,2.35,0.1694,Low,Mature
2,35236,2017,160,22901,143.13,10,42.46,0.0625,22,0.715656,0.85,2.66,3618.8,Hired,6.33,1.85,0.984,Low,Old
2,34914,2020,111,31881,287.22,4,49.54,0.036,30,1.436081,0.94,1.64,2645.49,Hired,12.05,1.6,1.551,Low,Old
2,35276,2024,265,37206,140.4,8,62.32,0.0302,11,0.702,0.98,2.02,4938.33,Hired,7.53,5.19,0.2332,Medium,Mature
1,2105,2024,286,39501,138.12,6,59.32,0.021,4,0.690577,1.88,2.73,6297.05,NRZ,6.27,11.86,0.058,Low,New
1,1031,2017,338,43567,128.9,5,59.01,0.0148,1,0.644482,0.73,1.71,8054.45,NRZ,5.41,29.5,0.0095,Low,New
2,34291,2021,209,37326,207.75,13,36.73,0.0535,15,1.038745,0.52,2.25,4618.63,Hired,8.08,2.3,0.8336,Critical,Mature
2,36539,2019,126,32817,260.45,4,63.69,0.0317,29,1.302262,0.7,2.81,2700.96,Hired,12.15,2.12,1.1972,Medium,Old
1,1011,2021,87,24990,336.65,10,35.37,0.087,28,1.683261,1.64,2.9,1775.96,NRZ,14.07,1.22,4.1004,Critical,Old
2,35216,2024,247,31134,126.05,9,59.95,0.0364,13,0.630243,1.5,3.41,4509.35,Hired,6.9,4.28,0.2982,Low,Mature
2,34527,2022,221,47459,214.75,7,52.44,0.0317,11,1.073733,0.81,1.71,4846.13,Hired,9.79,4.37,0.3744,Low,Mature
1,1004,2021,232,67810,292.28,6,62.88,0.0259,13,1.461422,0.63,3.2,4307.35,NRZ,15.74,4.49,0.4921,Medium,Mature
1,1006,2022,236,63299,268.22,9,53.27,0.0381,9,1.341081,1.8,2.59,5006.67,NRZ,12.64,5.33,0.4599,Low,Young
2,35436,2017,176,19975,113.49,8,43.17,0.0455,24,0.567472,0.96,2.11,3309.04,Hired,6.04,1.73,0.6197,Low,Old
2,35804,2023,186,30921,166.24,11,47.92,0.0591,24,0.83121,1.59,1.94,4082.89,Hired,7.57,1.92,1.179,Low,Old
1,1011,2023,227,22799,100.44,4,54.28,0.0176,8,0.502181,0.93,2.72,4810.44,NRZ,4.74,6.03,0.0707,Low,Young
1,1020,2024,286,87537,306.07,8,49.24,0.028,4,1.530367,1.21,2.73,5411.28,NRZ,16.18,9.85,0.1714,Low,New
2,36624,2021,245,25265,103.12,8,49.72,0.0327,13,0.515612,1.32,1.61,5696.52,Hired,4.44,3.55,0.2192,Low,Mature
2,35894,2017,304,32530,107.01,2,82.72,0.0066,4,0.535033,1.62,2.58,5824.75,Hired,5.58,16.54,0.0141,High,New
2,34988,2018,127,15597,122.81,4,65.73,0.0315,28,0.614055,1.85,2.6,2287.46,Hired,6.82,2.27,0.5416,Medium,Old
2,36481,2019,295,67132,227.57,6,72.85,0.0203,1,1.137831,0.59,2.4,6255.15,Hired,10.73,36.42,0.0231,Medium,New
2,34887,2024,242,32082,132.57,8,68.86,0.0331,10,0.662851,0.81,3.24,5240.87,Hired,6.12,6.26,0.2194,Medium,Young
2,36973,2020,179,35698,199.43,9,52.7,0.0503,24,0.997151,1.82,3.43,4202.62,Hired,8.49,2.11,1.2038,Low,Old
2,34941,2023,165,28415,172.21,8,44.52,0.0485,19,0.861061,0.61,1.81,3470.78,Hired,8.19,2.23,0.7935,Low,Mature
1,1014,2020,270,32879,121.77,6,68.42,0.0222,8,0.60887,1.02,1.87,6054.22,NRZ,5.43,7.6,0.1081,Medium,Young
2,36792,2022,280,32874,117.41,6,57.01,0.0214,6,0.587036,1.48,2.03,6334.15,Hired,5.19,8.14,0.0754,Low,Young
2,36402,2023,224,63205,282.17,4,63.97,0.0179,9,1.410826,0.81,2.73,4829.23,Hired,13.09,6.4,0.2273,Medium,Young
1,1023,2022,160,39400,246.25,4,53.39,0.025,25,1.23125,0.95,1.77,3707.19,NRZ,10.63,2.05,0.7695,Low,Old
1,1030,2021,239,58330,244.06,8,63.44,0.0335,11,1.220293,0.59,2.38,5189.27,NRZ,11.24,5.29,0.4497,Medium,Mature
2,34304,2017,272,55950,205.7,8,60.18,0.0294,10,1.028493,1.53,3.2,5359.86,Hired,10.44,5.47,0.3024,Medium,Young
2,34524,2020,289,53445,184.93,5,62.35,0.0173,5,0.924654,1.76,2.54,6294.27,Hired,8.49,10.39,0.08,Medium,New
1,1027,2018,195,34302,175.91,5,47.2,0.0256,16,0.879538,1.41,2.83,4112.28,NRZ,8.34,2.78,0.3603,Low,Mature
2,34256,2022,263,83932,319.13,3,65.79,0.0114,2,1.595665,1.19,2.29,5191.43,Hired,16.17,21.93,0.0364,Medium,New
1,2107,2022,225,28496,126.65,12,47.27,0.0533,19,0.633244,1.87,1.59,4337.35,NRZ,6.57,2.36,0.6413,Low,Mature
2,35415,2018,221,53217,240.8,10,57.8,0.0452,11,1.204005,1.85,2.09,4573.14,Hired,11.64,4.82,0.5986,Low,Mature
1,2104,2024,301,26499,88.04,5,60.79,0.0166,5,0.440183,1.46,1.57,5622.08,NRZ,4.71,10.13,0.0365,Medium,New
1,1029,2022,304,30249,99.5,4,73.99,0.0132,4,0.497516,0.88,2.7,7183.17,NRZ,4.21,14.8,0.0263,Medium,New
2,36198,2021,234,50091,214.06,6,71.33,0.0256,10,1.070321,0.75,3.38,4742.47,Hired,10.56,6.48,0.274,Medium,Young
1,1009,2022,275,69341,252.15,3,76.15,0.0109,3,1.260745,1.65,1.87,6360.93,NRZ,10.9,19.04,0.0412,Medium,New
1,1002,2022,110,25171,241.56,7,39.09,0.0504,25,1.207806,1.08,2.58,2431.92,NRZ,10.35,1.5,1.5218,Critical,Old
2,35741,2020,236,36066,152.82,9,57.19,0.0381,11,0.76411,0.97,2.48,4363.88,Hired,8.26,4.77,0.3202,Low,Mature
1,1020,2022,240,31205,130.02,8,56.42,0.0333,9,0.650104,0.5,2.0,4503.93,NRZ,6.93,5.64,0.1948,Low,Young
1,1007,2018,327,74351,227.37,6,65.17,0.0183,1,1.136865,1.19,1.81,7401.45,NRZ,10.05,32.58,0.0208,Medium,New
2,34789,2022,125,34391,275.13,7,43.18,0.056,29,1.37564,0.6,2.17,2289.17,Hired,15.02,1.44,2.234,Low,Old
2,36011,2021,152,34634,227.86,9,52.05,0.0592,28,1.139276,1.97,2.42,2973.08,Hired,11.65,1.79,1.8885,Low,Old
1,1017,2019,243,49349,203.08,13,47.24,0.0535,16,1.015412,1.34,2.21,4627.82,NRZ,10.66,2.78,0.8692,Low,Mature
1,1020,2021,273,31817,116.55,6,69.67,0.022,4,0.582729,1.39,2.29,6440.85,NRZ,4.94,13.93,0.0513,Medium,New
2,35135,2020,274,61406,224.11,8,64.58,0.0292,4,1.120547,1.15,3.44,5493.35,Hired,11.18,12.92,0.1309,Medium,New
2,35561,2022,262,83070,317.06,11,45.03,0.042,8,1.585305,0.72,2.38,5633.74,Hired,14.75,5.0,0.5327,Low,Young
2,34582,2022,254,70013,275.64,7,66.48,0.0276,9,1.378209,1.65,2.84,4869.42,Hired,14.38,6.65,0.3423,Medium,Young
2,35475,2019,287,43758,152.47,6,64.98,0.0209,9,0.762334,1.54,2.16,6087.29,Hired,7.19,6.5,0.1434,Medium,Young
1,2104,2018,131,12555,95.84,4,52.72,0.0305,27,0.479198,1.1,3.31,3091.08,NRZ,4.06,1.88,0.3946,Low,Old
2,35207,2017,230,35622,154.88,6,70.53,0.0261,5,0.774391,1.96,1.68,5013.36,Hired,7.11,11.76,0.1011,Medium,New
2,36060,2020,143,43906,307.03,7,51.75,0.049,28,1.535175,0.78,2.19,3326.66,Hired,13.2,1.78,2.1063,Low,Old
1,1026,2021,155,29857,192.63,4,55.16,0.0258,24,0.963129,0.86,2.47,3214.95,NRZ,9.29,2.21,0.5964,Low,Old
1,2106,2023,267,45537,170.55,5,54.04,0.0187,9,0.852753,0.62,3.11,5216.79,NRZ,8.73,5.4,0.1435,Low,Young
2,34391,2022,258,36403,141.1,2,74.81,0.0078,2,0.705484,0.82,2.03,5397.27,Hired,6.74,24.94,0.011,Medium,New
1,1029,2019,342,84981,248.48,4,61.91,0.0117,1,1.242412,0.67,3.01,6627.79,NRZ,12.82,30.96,0.0145,Medium,New
2,35081,2017,246,61742,250.98,6,67.4,0.0244,9,1.254919,1.79,2.82,5323.65,Hired,11.6,6.74,0.2756,Medium,Young
1,1017,2022,236,51240,217.12,5,52.82,0.0212,15,1.085593,0.79,2.78,4849.54,NRZ,10.57,3.3,0.3452,Low,Mature
2,36057,2017,277,32603,117.7,2,83.76,0.0072,1,0.588502,1.91,2.2,5838.03,Hired,5.58,41.88,0.0042,High,New
1,1007,2017,300,48664,162.21,4,60.59,0.0133,4,0.811067,0.53,2.91,6290.55,NRZ,7.74,12.12,0.0431,Medium,New
2,34620,2019,168,34595,205.92,9,54.21,0.0536,25,1.029613,1.21,2.99,4014.83,Hired,8.62,2.08,1.3797,Low,Old
1,2102,2017,170,34225,201.32,4,64.1,0.0235,23,1.006618,1.67,1.56,3401.93,NRZ,10.06,2.67,0.5441,Medium,Old
1,1027,2023,216,40661,188.25,9,53.67,0.0417,10,0.941227,0.51,2.43,4671.97,NRZ,8.7,4.88,0.3925,Low,Young
1,1005,2018,171,28655,186.57,10,39.02,0.0481,13,0.932861,0.63,3.01,3113.51,NRZ,9.2,2.79,0.5833,Critical,Mature
2,34919,2019,123,24375,198.17,3,60.69,0.0244,27,0.990854,1.83,2.81,2579.76,Hired,9.45,2.17,0.6528,Medium,Old
1,1009,2017,331,63155,190.8,7,64.87,0.0211,2,0.954003,1.69,3.5,6178.37,NRZ,10.22,21.62,0.0403,Medium,New
1,2107,2018,256,45099,176.17,7,64.17,0.0273,13,0.88084,0.72,1.95,5071.16,NRZ,8.89,4.58,0.3126,Medium,Mature
1,1013,2022,116,17853,153.91,4,61.23,0.0345,28,0.769526,0.9,1.66,2752.23,NRZ,6.49,2.11,0.7434,Medium,Old
2,36415,2018,185,37029,200.16,11,42.21,0.0595,23,1.000784,1.41,2.57,3789.12,Hired,9.77,1.76,1.3696,Low,Old
2,36493,2023,295,93455,316.8,5,65.27,0.0169,8,1.583983,2.0,3.32,6195.35,Hired,15.08,7.25,0.2142,Medium,Young
2,35493,2024,123,29972,243.67,8,60.53,0.065,26,1.218374,1.97,1.72,2238.01,Hired,13.39,2.24,2.0591,Medium,Old
2,36754,2019,139,14530,104.53,8,55.78,0.0576,27,0.522662,1.9,3.04,3287.95,Hired,4.42,1.99,0.8128,Low,Old
1,1027,2019,260,38322,147.39,4,65.7,0.0154,3,0.736962,0.91,3.39,4740.95,NRZ,8.08,16.42,0.034,Medium,New
1,1009,2020,274,45377,165.61,5,63.29,0.0182,12,0.828047,0.51,1.63,5205.73,NRZ,8.72,4.87,0.1808,Medium,Mature
1,1020,2023,174,17057,98.03,6,54.93,0.0345,19,0.490144,1.67,3.5,3258.66,NRZ,5.23,2.75,0.3213,Low,Mature
1,1027,2017,146,33135,226.95,9,48.33,0.0616,27,1.13476,0.73,1.97,3228.51,NRZ,10.26,1.73,1.8873,Low,Old
1,1031,2024,260,22761,87.54,8,50.24,0.0308,11,0.437712,1.31,3.19,4808.23,NRZ,4.73,4.19,0.1483,Low,Mature
2,34702,2018,312,75529,242.08,4,77.15,0.0128,5,1.210401,0.98,2.82,6655.51,Hired,11.35,12.86,0.0775,Medium,New
2,37059,2021,180,53725,298.47,7,64.96,0.0389,21,1.492361,0.78,2.02,4155.69,Hired,12.93,2.95,1.2191,Medium,Old
1,1006,2022,139,19832,142.68,3,52.43,0.0216,26,0.713381,1.92,2.71,2710.82,NRZ,7.32,1.94,0.4006,Low,Old
1,2105,2022,239,51250,214.44,13,40.35,0.0544,16,1.072176,1.68,2.22,5694.33,NRZ,9.0,2.37,0.9332,Low,Mature
2,35492,2019,350,58033,165.81,2,67.24,0.0057,1,0.829043,1.43,3.48,7476.03,Hired,7.76,33.62,0.0047,Medium,New
1,2107,2022,132,36818,278.92,9,48.23,0.0682,29,1.394621,1.96,2.19,2390.18,NRZ,15.4,1.61,2.7583,Low,Old
2,34497,2022,107,22385,209.21,6,50.49,0.0561,30,1.046028,1.25,2.36,2408.42,Hired,9.29,1.63,1.7605,Low,Old
1,1018,2021,207,56146,271.24,6,46.39,0.029,19,1.356184,1.16,3.48,4784.35,NRZ,11.74,2.32,0.7473,Low,Mature
2,35784,2017,168,22464,133.71,7,58.87,0.0417,24,0.668571,1.44,1.91,3761.74,Hired,5.97,2.35,0.6691,Low,Old
2,34825,2021,152,37009,243.48,12,44.7,0.0789,24,1.217401,0.74,2.14,2828.62,Hired,13.08,1.79,2.3053,Low,Old
2,36770,2021,208,20861,100.29,3,60.15,0.0144,16,0.501466,0.52,2.33,4907.95,Hired,4.25,3.54,0.1155,Medium,Mature
2,36459,2019,262,34327,131.02,3,68.56,0.0115,1,0.655095,1.61,2.21,5277.07,Hired,6.5,34.28,0.0075,Medium,New
1,2106,2018,206,35271,171.22,6,53.13,0.0291,12,0.856092,1.01,2.67,4063.35,NRZ,8.68,4.09,0.2989,Low,Mature
1,1008,2017,148,36921,249.47,5,59.0,0.0338,22,1.247331,0.62,2.95,2883.46,NRZ,12.8,2.57,0.9275,Low,Old
1,1009,2023,104,26163,251.57,3,61.92,0.0288,32,1.257837,1.25,1.7,2327.51,NRZ,11.24,1.88,1.1592,Medium,Old
1,1007,2018,268,68148,254.28,8,57.0,0.0299,3,1.271418,0.68,1.71,5933.29,NRZ,11.49,14.25,0.114,Low,New
2,37016,2017,286,36262,126.79,7,66.72,0.0245,4,0.633951,1.73,2.16,5773.75,Hired,6.28,13.34,0.0621,Medium,New
1,1009,2018,201,31603,157.23,5,46.39,0.0249,22,0.786144,1.21,1.83,4255.35,NRZ,7.43,2.02,0.4306,Low,Old
2,36356,2017,205,43821,213.76,8,57.36,0.039,12,1.068805,1.92,1.71,3723.81,Hired,11.77,4.41,0.5002,Low,Mature
2,36186,2024,214,27947,130.59,4,65.95,0.0187,10,0.652967,1.13,3.23,5007.18,Hired,5.58,6.0,0.1221,Medium,Young
1,1013,2021,185,46130,249.35,9,49.31,0.0486,14,1.246757,1.96,1.56,3518.39,NRZ,13.11,3.29,0.8483,Low,Mature
2,36956,2021,133,21168,146.11,11,38.75,0.0643,25,0.730526,0.56,3.49,2874.77,Hired,7.36,1.49,1.1743,Critical,Old
2,36474,2022,274,48684,177.68,5,66.35,0.0182,5,0.888394,1.52,1.63,5950.86,Hired,8.18,11.06,0.0808,Medium,New
1,1017,2022,269,63496,236.04,7,60.72,0.026,10,1.180223,1.76,3.29,6171.05,NRZ,10.29,5.52,0.3069,Medium,Young
2,34513,2017,271,36777,135.71,11,61.1,0.0406,12,0.678542,1.47,3.03,6329.67,Hired,5.81,4.7,0.3306,Medium,Mature
1,1020,2020,283,35197,124.37,4,55.74,0.0141,8,0.621855,1.31,2.09,5206.0,NRZ,6.76,6.19,0.0701,Low,Young
1,1002,2021,256,53225,207.91,2,60.31,0.0078,2,1.039551,1.79,1.59,4763.03,NRZ,11.17,20.1,0.0162,Medium,New
1,1026,2024,230,61351,266.74,7,51.32,0.0304,11,1.333717,1.57,1.99,5061.49,NRZ,12.12,4.28,0.446,Low,Mature
1,2103,2023,317,46725,147.4,5,66.89,0.0158,6,0.736987,1.87,1.72,6744.51,NRZ,6.93,9.56,0.0699,Medium,Young
1,1030,2024,178,23402,131.47,10,42.96,0.0562,24,0.65736,0.65,2.22,3369.29,NRZ,6.95,1.72,0.8866,Low,Old
2,36110,2024,103,9778,94.93,4,48.22,0.0388,30,0.47466,1.25,1.75,2091.48,Hired,4.68,1.56,0.5525,Low,Old
2,36887,2024,240,59673,248.64,12,41.83,0.05,17,1.243187,1.23,2.11,4648.71,Hired,12.84,2.32,1.0567,Low,Mature
1,1013,2024,172,46174,268.45,8,45.68,0.0465,25,1.342267,0.77,1.6,3676.63,NRZ,12.56,1.76,1.5604,Low,Old
2,35279,2023,238,81606,342.88,6,62.32,0.0252,12,1.714412,0.95,1.59,4878.93,Hired,16.73,4.79,0.5184,Medium,Mature
2,34773,2017,241,37325,154.88,7,50.85,0.029,13,0.774378,1.75,1.91,4827.12,Hired,7.73,3.63,0.2919,Low,Mature
2,36967,2017,272,77887,286.35,5,72.59,0.0184,2,1.431746,0.76,2.89,6169.24,Hired,12.63,24.2,0.0527,Medium,New
1,1018,2017,181,42811,279.59,11,37.9,0.0474,16,1.397974,0.63,3.31,3905.45,NRZ,10.96,2.23,1.0602,Critical,Mature
2,35973,2021,220,32343,147.01,4,67.5,0.0182,7,0.735068,1.61,2.5,5124.02,Hired,6.31,8.44,0.0936,Medium,Young
2,35604,2022,141,39405,279.47,11,40.82,0.078,24,1.39734,1.67,2.02,3252.94,Hired,12.11,1.63,2.6158,Low,Old
2,35076,2023,277,46711,168.63,4,60.52,0.0144,10,0.843159,1.92,1.79,5157.66,Hired,9.06,5.5,0.1214,Medium,Young
1,1031,2022,267,41942,157.09,8,51.46,0.03,12,0.785431,0.59,2.09,5794.09,NRZ,7.24,3.96,0.2828,Low,Mature
1,1015,2019,134,17596,131.31,8,48.37,0.0597,24,0.656567,1.32,1.69,3199.36,NRZ,5.5,1.93,0.9407,Low,Old
2,34971,2023,154,17232,111.9,3,52.93,0.0195,25,0.559481,1.2,3.27,2789.86,Hired,6.18,2.04,0.2727,Low,Old
1,1007,2023,254,57480,226.3,4,55.22,0.0157,4,1.131496,0.55,2.67,4890.03,NRZ,11.75,11.04,0.0711,Low,New
2,36095,2019,206,32131,155.98,5,65.67,0.0243,21,0.779879,0.74,2.06,4256.29,Hired,7.55,2.98,0.398,Medium,Old
1,2107,2017,223,51979,233.09,8,50.5,0.0359,10,1.165448,0.59,3.26,4837.92,NRZ,10.74,4.59,0.4184,Low,Young
1,1012,2018,286,39733,138.93,6,63.26,0.021,2,0.694633,1.14,1.75,5886.65,NRZ,6.75,21.09,0.0292,Medium,New
2,36069,2023,215,33074,153.83,7,55.57,0.0326,13,0.769163,1.97,2.68,4211.56,Hired,7.85,3.97,0.326,Low,Mature
2,34304,2019,138,37589,272.38,9,54.85,0.0652,28,1.36192,0.76,1.59,2638.15,Hired,14.25,1.89,2.4863,Low,Old
1,1025,2021,323,65952,204.19,6,69.78,0.0186,3,1.020929,1.38,1.85,6118.03,NRZ,10.78,17.44,0.057,Medium,New
1,1017,2020,128,16120,125.94,3,62.69,0.0234,25,0.629687,1.86,3.11,2568.23,NRZ,6.28,2.41,0.3684,Medium,Old
1,1009,2020,171,47574,278.21,4,64.11,0.0234,20,1.391053,1.37,3.13,3907.56,NRZ,12.17,3.05,0.651,Medium,Mature
2,37063,2020,215,48115,223.79,4,73.5,0.0186,11,1.118953,1.09,1.83,4420.51,Hired,10.88,6.12,0.2289,Medium,Mature
1,2106,2017,215,64001,297.68,7,45.53,0.0326,16,1.488395,1.95,2.04,4218.59,NRZ,15.17,2.68,0.7763,Low,Mature
1,2109,2017,252,60364,239.54,13,44.73,0.0516,13,1.197698,1.42,3.4,4714.27,NRZ,12.8,3.2,0.8034,Low,Mature
1,2103,2023,121,24044,198.71,5,42.81,0.0413,27,0.993554,0.52,1.86,2740.56,NRZ,8.77,1.53,1.1079,Low,Old
2,36841,2018,222,44153,198.89,8,60.72,0.036,10,0.994437,0.77,2.39,4932.38,Hired,8.95,5.52,0.358,Medium,Young
1,2102,2022,145,13124,121.78,11,39.97,0.0659,25,0.608892,1.44,2.3,2943.29,NRZ,4.46,1.54,1.0031,Critical,Old
1,1003,2023,97,20433,205.31,7,39.17,0.0579,30,1.026529,0.9,3.25,1903.42,NRZ,10.73,1.26,1.7831,Critical,Old
1,1012,2018,141,19208,136.23,3,47.88,0.0213,26,0.681135,0.81,3.04,2622.91,NRZ,7.32,1.77,0.3772,Low,Old
1,1025,2021,248,72999,294.35,4,71.37,0.0161,4,1.471754,1.44,2.85,5506.21,NRZ,13.26,14.27,0.0948,Medium,New
1,1017,2019,249,49626,199.3,6,59.85,0.0241,11,0.996506,0.59,2.18,5552.32,NRZ,8.94,4.99,0.2642,Low,Mature
1,1022,2023,267,37821,141.65,3,63.66,0.0112,11,0.708258,1.1,1.75,5742.37,NRZ,6.59,5.3,0.0873,Medium,Mature
1,1025,2021,268,78904,294.42,6,53.6,0.0224,2,1.47209,1.38,1.84,5079.71,NRZ,15.53,17.87,0.0659,Low,New
1,1024,2017,251,37451,149.21,5,66.21,0.0199,3,0.746036,0.75,3.27,4969.61,NRZ,7.54,16.55,0.0445,Medium,New
1,2107,2023,147,19280,131.16,3,62.52,0.0204,27,0.655782,0.75,1.83,3459.26,NRZ,5.57,2.23,0.3612,Medium,Old
1,1020,2019,205,22753,110.99,4,55.4,0.0195,10,0.554951,1.54,1.58,4194.19,NRZ,5.42,5.04,0.1082,Low,Young
1,1018,2022,305,84284,276.34,5,53.34,0.0164,6,1.381705,1.75,2.79,5524.34,NRZ,15.26,7.62,0.136,Low,Young
1,1006,2017,311,60056,193.11,8,57.77,0.0257,4,0.965531,0.77,1.82,7158.64,NRZ,8.39,11.55,0.0993,Low,New
1,1007,2020,223,51581,231.3,5,56.58,0.0224,18,1.156525,1.19,2.82,4442.66,NRZ,11.61,2.98,0.4663,Low,Mature
2,35855,2018,323,67379,208.6,5,68.22,0.0155,1,1.043019,0.69,2.06,7187.48,Hired,9.37,34.11,0.0162,Medium,New
2,34778,2020,223,43921,196.96,4,76.31,0.0179,8,0.984776,0.79,1.86,4642.68,Hired,9.46,8.48,0.141,Medium,Young
2,36359,2022,237,72752,306.97,10,55.35,0.0422,17,1.534852,1.69,2.71,4522.05,Hired,16.09,3.08,1.1011,Low,Mature
